word,idf
time,1.6094379124341003
daughter,1.6094379124341003
sir,1.6094379124341003
becam,1.6094379124341003
chivalri,1.6094379124341003
faraway,1.6094379124341003
known,1.6094379124341003
peopl,1.6094379124341003
legend,1.6094379124341003
quest,1.6094379124341003
kidnap,1.6094379124341003
lancelot,1.6094379124341003
gave,1.6094379124341003
courag,1.6094379124341003
set,1.6094379124341003
strength,1.6094379124341003
danger,1.6094379124341003
never,1.6094379124341003
king,1.6094379124341003
ask,1.6094379124341003
upon,1.6094379124341003
cheer,1.6094379124341003
bean,1.6094379124341003
ran,1.6094379124341003
mountain,1.6094379124341003
follow,1.6094379124341003
furiou,1.6094379124341003
stranger,1.6094379124341003
poor,1.6094379124341003
goos,1.6094379124341003
beanstalk,1.6094379124341003
offer,1.6094379124341003
stop,1.6094379124341003
mother,1.6094379124341003
milk,1.6094379124341003
villag,1.6094379124341003
five,1.6094379124341003
night,1.6094379124341003
laid,1.6094379124341003
egg,1.6094379124341003
know,1.6094379124341003
possess,1.6094379124341003
market,1.6094379124341003
home,1.6094379124341003
find,1.6094379124341003
foot,1.6094379124341003
agre,1.6094379124341003
giant,1.6094379124341003
golden,1.6094379124341003
climb,1.6094379124341003
castl,1.6094379124341003
cow,1.6094379124341003
chop,1.6094379124341003
decid,1.6094379124341003
grew,1.6094379124341003
jack,1.6094379124341003
small,1.6094379124341003
farmer,1.6094379124341003
death,1.6094379124341003
stole,1.6094379124341003
trade,1.6094379124341003
farm,1.6094379124341003
cloud,1.6094379124341003
sell,1.6094379124341003
took,1.6094379124341003
sleep,1.6094379124341003
woman,1.6094379124341003
kill,1.6094379124341003
left,1.6094379124341003
appl,1.6094379124341003
forest,1.6094379124341003
dwarf,1.6094379124341003
queen,1.6094379124341003
kingdom,1.6094379124341003
seven,1.6094379124341003
poison,1.6094379124341003
white,1.6094379124341003
still,1.6094379124341003
came,1.6094379124341003
order,1.6094379124341003
snow,1.6094379124341003
kiss,1.6094379124341003
disguis,1.6094379124341003
couldnt,1.6094379124341003
jealou,1.6094379124341003
rule,1.6094379124341003
huntsman,1.6094379124341003
care,1.6094379124341003
aliv,1.6094379124341003
old,1.6094379124341003
woke,1.6094379124341003
deserv,1.6094379124341003
deep,1.6094379124341003
princ,1.6094379124341003
hermion,1.6094379124341003
voldemort,1.6094379124341003
letter,1.6094379124341003
wizardri,1.6094379124341003
abl,1.6094379124341003
learn,1.6094379124341003
wizard,1.6094379124341003
wonder,1.6094379124341003
weasley,1.6094379124341003
bring,1.6094379124341003
destini,1.6094379124341003
young,1.6094379124341003
true,1.6094379124341003
made,1.6094379124341003
battl,1.6094379124341003
rel,1.6094379124341003
vanquish,1.6094379124341003
challeng,1.6094379124341003
babi,1.6094379124341003
attend,1.6094379124341003
invit,1.6094379124341003
end,1.6094379124341003
heritag,1.6094379124341003
orphan,1.6094379124341003
world,1.6094379124341003
rais,1.6094379124341003
witchcraft,1.6094379124341003
receiv,1.6094379124341003
harri,1.6094379124341003
dark,1.6094379124341003
potter,1.6094379124341003
friend,1.6094379124341003
hogwart,1.6094379124341003
ron,1.6094379124341003
school,1.6094379124341003
granger,1.6094379124341003
cruel,1.6094379124341003
peac,1.6094379124341003
fiona,1.6094379124341003
tale,1.6094379124341003
get,1.6094379124341003
tower,1.6094379124341003
dragon,1.6094379124341003
first,1.6094379124341003
talk,1.6094379124341003
farquaad,1.6094379124341003
man,1.6094379124341003
curs,1.6094379124341003
donkey,1.6094379124341003
swamp,1.6094379124341003
lord,1.6094379124341003
discov,1.6094379124341003
charact,1.6094379124341003
gingerbread,1.6094379124341003
turn,1.6094379124341003
shrek,1.6094379124341003
fairi,1.6094379124341003
ogr,1.6094379124341003
sent,1.6094379124341003
love,1.6094379124341003
knight,0.9162907318741551
land,0.9162907318741551
along,0.9162907318741551
sorcer,0.9162907318741551
eventu,0.9162907318741551
face,0.9162907318741551
evil,0.9162907318741551
brave,0.9162907318741551
rescu,0.9162907318741551
got,0.9162907318741551
magic,0.9162907318741551
give,0.9162907318741551
didnt,0.9162907318741551
wick,0.9162907318741551
beauti,0.9162907318741551
found,0.9162907318741551
togeth,0.9162907318741551
includ,0.9162907318741551
mani,0.5108256237659907
way,0.5108256237659907
defeat,0.5108256237659907
princess,0.5108256237659907
ever,0.5108256237659907
fell,0.5108256237659907
happili,0.5108256237659907
live,0.5108256237659907
met,0.5108256237659907
one,0.22314355131420976
day,0.22314355131420976
name,0.0
