document,word,tfidf
0,sir,0.06250244320132428
0,lancelot,0.04687683240099321
0,time,0.03125122160066214
0,sorcerer.,0.03125122160066214
0,land,0.02668807956915015
0,his,0.01983788830159187
0,once,0.01562561080033107
0,upon,0.01562561080033107
0,faraway,0.01562561080033107
0,lancelot.,0.01562561080033107
0,known,0.01562561080033107
0,strength,0.01562561080033107
0,courage,0.01562561080033107
0,chivalry.,0.01562561080033107
0,king,0.01562561080033107
0,asked,0.01562561080033107
0,daughter,0.01562561080033107
0,kidnapped,0.01562561080033107
0,set,0.01562561080033107
0,quest,0.01562561080033107
0,facing,0.01562561080033107
0,dangers,0.01562561080033107
0,way.,0.01562561080033107
0,never,0.01562561080033107
0,gave,0.01562561080033107
0,up,0.01562561080033107
0,rescued,0.01562561080033107
0,people,0.01562561080033107
0,cheered,0.01562561080033107
0,became,0.01562561080033107
0,legend,0.01562561080033107
0,own,0.01562561080033107
0,for,0.009918944150795935
0,brave,0.008896026523050049
0,knight,0.008896026523050049
0,rescue,0.008896026523050049
0,evil,0.008896026523050049
0,out,0.008896026523050049
0,on,0.008896026523050049
0,along,0.008896026523050049
0,eventually,0.008896026523050049
0,defeated,0.008896026523050049
0,who,0.004959472075397968
0,been,0.004959472075397968
0,an,0.004959472075397968
0,many,0.004959472075397968
0,princess,0.004959472075397968
0,one,0.002166442245769027
0,day,0.002166442245769027
0,had,0.002166442245769027
0,by,0.002166442245769027
0,",",0.0
0,the,0.0
0,a,0.0
0,he,0.0
0,and,0.0
0,in,0.0
0,was,0.0
0,of,0.0
0,there,0.0
0,named,0.0
0,to,0.0
0,but,0.0
0,.,0.0
1,jack,0.05747992544407501
1,giant,0.03831995029605
1,cow,0.028739962722037504
1,beanstalk,0.028739962722037504
1,beans,0.019159975148025
1,mother,0.019159975148025
1,goose,0.019159975148025
1,golden,0.019159975148025
1,down,0.019159975148025
1,his,0.012162514851571207
1,magic,0.010908222998501846
1,village,0.0095799875740125
1,foot,0.0095799875740125
1,mountain,0.0095799875740125
1,poor,0.0095799875740125
1,farmer,0.0095799875740125
1,jack.,0.0095799875740125
1,small,0.0095799875740125
1,farm,0.0095799875740125
1,which,0.0095799875740125
1,only,0.0095799875740125
1,possession.,0.0095799875740125
1,stopped,0.0095799875740125
1,giving,0.0095799875740125
1,milk,0.0095799875740125
1,know,0.0095799875740125
1,do.,0.0095799875740125
1,decided,0.0095799875740125
1,sell,0.0095799875740125
1,market.,0.0095799875740125
1,stranger,0.0095799875740125
1,offered,0.0095799875740125
1,trade,0.0095799875740125
1,five,0.0095799875740125
1,cow.,0.0095799875740125
1,agreed,0.0095799875740125
1,home,0.0095799875740125
1,furious.,0.0095799875740125
1,night,0.0095799875740125
1,grew,0.0095799875740125
1,climbed,0.0095799875740125
1,find,0.0095799875740125
1,castle,0.0095799875740125
1,clouds.,0.0095799875740125
1,laid,0.0095799875740125
1,eggs.,0.0095799875740125
